wavfile,transcript,emo,v,a,d,n
MSP-IMPROV-S01A-F02-R-FF01.wav,How can I not?.,A,2.333333,3.333333,3.0,3.666667
MSP-IMPROV-S01A-F03-R-FF01.wav,How can I not?.,A,1.428571,3.0,4.285714,3.285714
MSP-IMPROV-S01A-F05-R-FF01.wav,How can I not?.,A,1.6,2.4,3.6,3.6
MSP-IMPROV-S01A-F06-R-FF01.wav,How can I not?.,A,2.0,2.8,3.2,2.6
MSP-IMPROV-S01A-M01-R-MM01.wav,How can I not?.,A,1.666667,2.333333,3.5,3.166667
MSP-IMPROV-S01A-M02-R-MM01.wav,How can I not?.,X,2.625,4.0,3.125,3.0
MSP-IMPROV-S01A-M03-R-MM01.wav,How can I not?.,A,2.0,3.0,3.8,3.4
MSP-IMPROV-S01H-F02-R-FF01.wav,How can I not?.,H,3.8,2.8,3.0,3.4
MSP-IMPROV-S01H-F03-R-FF01.wav,How can I not?.,H,3.4,2.4,3.4,3.4
MSP-IMPROV-S01H-F05-R-FF01.wav,How can I not?.,H,4.428571,2.714286,4.0,3.142857
MSP-IMPROV-S01H-F06-R-FF01.wav,How can I not?.,H,4.0,2.6,3.2,2.8
MSP-IMPROV-S01H-M01-R-MM01.wav,How can I not?.,H,3.6,3.0,3.2,3.0
MSP-IMPROV-S01H-M02-R-MM01.wav,How can I not?.,N,3.2,4.0,2.8,3.2
MSP-IMPROV-S01H-M03-R-MM01.wav,How can I not?.,H,4.0,3.4,3.2,3.8
MSP-IMPROV-S01N-F02-R-FF01.wav,How can I not?.,N,3.0,4.142857,3.0,3.571429
MSP-IMPROV-S01N-F03-R-FF01.wav,How can I not?.,N,3.166667,4.166667,3.166667,2.833333
MSP-IMPROV-S01N-F05-R-FF01.wav,How can I not?.,N,2.625,3.625,2.875,3.0
MSP-IMPROV-S01N-F05-R-FF02.wav,How can I not?.,N,2.8,3.4,2.6,3.2
MSP-IMPROV-S01N-F06-R-FF01.wav,How can I not?.,N,2.6,3.8,3.2,3.4
MSP-IMPROV-S01N-M01-R-MM01.wav,How can I not?.,N,3.0,4.4,2.8,3.0
MSP-IMPROV-S01N-M01-R-MM02.wav,How can I not?.,N,2.6,4.0,2.8,3.6
MSP-IMPROV-S01N-M02-R-MM01.wav,How can I not?.,N,3.0,4.0,2.285714,3.428571
MSP-IMPROV-S01N-M03-R-MM01.wav,How can I not?.,N,2.6,3.8,3.0,3.2
MSP-IMPROV-S01S-F02-R-FF01.wav,How can I not?.,S,2.333333,4.333333,2.333333,4.333333
MSP-IMPROV-S01S-F03-R-FF01.wav,How can I not?.,S,2.142857,4.142857,2.714286,4.285714
MSP-IMPROV-S01S-F03-R-FF02.wav,How can I not?.,X,2.2,3.6,2.8,4.0
MSP-IMPROV-S01S-F05-R-FF01.wav,How can I know Hut?.,S,1.6,4.0,2.4,3.4
MSP-IMPROV-S01S-F05-R-FF02.wav,How can I not?.,S,2.125,4.125,2.875,3.0
MSP-IMPROV-S01S-F06-R-FF01.wav,How can I not?.,S,1.4,3.6,3.2,4.2
MSP-IMPROV-S01S-M01-R-MM01.wav,How can I not?.,A,1.6,2.4,4.0,3.6
MSP-IMPROV-S01S-M02-R-MM01.wav,How can I not?.,N,2.166667,4.166667,2.666667,3.5
MSP-IMPROV-S01S-M03-R-MM01.wav,How can I not?.,N,2.625,3.75,3.125,3.875
MSP-IMPROV-S02A-F02-R-FF01.wav,I'm quite sure they will find some way or another..,A,2.0,3.2,3.6,2.8
MSP-IMPROV-S02A-F03-R-FF01.wav,I'm quite sure that we will find some way or another..,A,1.714286,2.571429,3.285714,3.428571
MSP-IMPROV-S02A-F05-R-FF01.wav,I'm quite sure that we will find some way or another..,A,2.2,2.0,3.6,2.4
MSP-IMPROV-S02A-F06-R-FF01.wav,I'm quite sure that we will find some way or another..,A,1.8,2.8,3.6,3.8
MSP-IMPROV-S02A-M01-R-MM01.wav,I'm quite sure they will find some way or another..,A,2.0,2.0,3.8,2.6
MSP-IMPROV-S02A-M02-R-MM01.wav,I'm quite sure they will find some way or another..,N,3.0,3.833333,2.833333,3.0
MSP-IMPROV-S02A-M03-R-MM01.wav,I'm quite certain we will find some way or another..,N,3.2,4.0,3.0,2.0
MSP-IMPROV-S02H-F02-R-FF01.wav,I'm quite sure they will find some way or another..,H,4.4,3.4,3.6,2.8
MSP-IMPROV-S02H-F03-R-FF01.wav,I'm quite sure that we will find some way or another..,H,3.6,3.2,2.8,2.8
MSP-IMPROV-S02H-F05-R-FF01.wav,I'm quite sure that we will find some way or another..,H,4.285714,2.142857,3.571429,2.571429
MSP-IMPROV-S02H-F06-R-FF01.wav,I'm quite sure that we will find some way or another..,N,4.0,3.857143,3.0,3.285714
MSP-IMPROV-S02H-M01-R-MM01.wav,I'm quite sure that will find some way or another..,A,2.0,2.8,3.8,2.8
MSP-IMPROV-S02H-M02-R-MM01.wav,I'm quite sure they will find some way or another..,N,2.666667,4.333333,2.666667,2.5
MSP-IMPROV-S02H-M03-R-MM01.wav,I'm quite sure they will find somewhere another..,H,4.0,3.2,3.8,3.8
MSP-IMPROV-S02N-F02-R-FF01.wav,I'm quite sure they will find some way or another..,N,3.0,3.714286,2.857143,3.571429
MSP-IMPROV-S02N-F03-R-FF01.wav,I'm quite sure that we will find some way or another..,N,3.0,3.833333,2.833333,2.833333
MSP-IMPROV-S02N-F05-R-FF01.wav,I'm quite sure that we will find some way or another..,N,3.4,4.2,3.0,3.8
MSP-IMPROV-S02N-F05-R-FF02.wav,I'm quite sure that we will find some way or another..,N,3.166667,3.333333,3.0,3.0
MSP-IMPROV-S02N-F06-R-FF01.wav,I'm quite sure that we will find some way or another..,N,2.6,3.4,3.0,3.0
MSP-IMPROV-S02N-M01-R-MM01.wav,I'm quite sure that will find some way or another..,N,2.833333,3.166667,3.0,2.833333
MSP-IMPROV-S02N-M01-R-MM02.wav,I'm quite sure that we will find some way or another..,N,3.2,3.4,2.4,2.4
MSP-IMPROV-S02N-M02-R-MM01.wav,I'm quite sure they will find some way or another..,N,2.8,4.6,2.0,2.6
MSP-IMPROV-S02N-M03-R-MM01.wav,I'm quite sure that we will find some way or another..,N,2.8,4.0,2.6,3.0
MSP-IMPROV-S02S-F02-R-FF01.wav,I'm quite sure they will find some way or another..,X,2.857143,4.571429,2.428571,3.571429
MSP-IMPROV-S02S-F03-R-FF01.wav,I'm quite sure that we will find some way or another..,S,1.714286,3.857143,2.285714,3.285714
MSP-IMPROV-S02S-F03-R-FF02.wav,I'm quite sure that we will find some way or another..,S,1.8,4.2,2.8,3.6
MSP-IMPROV-S02S-F05-R-FF01.wav,I'm quite sure that we will find some way or another..,S,1.4,2.8,2.8,3.0
MSP-IMPROV-S02S-F05-R-FF02.wav,I'm quite sure that we will find some way or another..,S,1.8,3.6,2.4,1.6
MSP-IMPROV-S02S-F06-R-FF01.wav,I'm quite sure that we will find some way or another..,S,1.8,3.8,2.8,3.2
MSP-IMPROV-S02S-M01-R-MM01.wav,I'm quite sure that will find some way or another..,N,2.666667,3.0,2.166667,1.5
MSP-IMPROV-S02S-M02-R-MM01.wav,I'm quite sure they will find some way or another..,N,2.666667,4.5,1.833333,2.5
